Source Name	Sample Name	Characteristics[cell model]	Term Source REF	Term Accession Number	Characteristics[cell type]	Term Source REF	Term Accession Number	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[specific cell description]	Characteristics[cell provider]	Characteristics[tissue]	Term Source REF	Term Accession Number	Characteristics[cellular component]	Term Source REF	Term Accession Number	Characteristics[life cycle stage]	Characteristics[genotype]	Protocol REF	Parameter Value[(micro)environment]	Characteristics[Cell culture type]	Term Source REF	Term Accession Number	Characteristics[Cell culture dimension]	Term Source REF	Term Accession Number	Parameter Value[cell culture vessel]	Characteristics[Labeling type]	Term Source REF	Term Accession Number	Characteristics[Immunofluorescent label 1]	Term Source REF	Term Accession Number	Characteristics[Fluorescent reagent 1]	Term Source REF	Term Accession Number	Characteristics[Fluorescent reagent 2]	Term Source REF	Term Accession Number	Parameter Value[cell culture medium]	Parameter Value[cell culture serum]	Parameter Value[cell culture serum concentration]	Unit	Term Source REF	Term Accession Number	Parameter Value[cell culture antibiotics]	Parameter Value[cell culture temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[cell culture CO2 partial pressure]	Unit	Term Source REF	Term Accession Number	Factor Value[Rattail collagen type I concentration (mg/ml)]	Unit	Term Source REF	Term Accession Number
a_2018_3dsphinvasion_ht1080_collagen_spheroid_invasion_assay_microscopy_imaging-N3	C5_medium_20x_IgG	HT-1080 cell	CLO	http://purl.obolibrary.org/obo/CLO_0004276	fibrosarcoma	CLO	http://purl.obolibrary.org/obo/DOID_3355	human			Human fibrosarcoma, cell line with a mesenchymal phenotype, established with 2D cell culture.	ATCC	fibroblast of dermis	UBERON	http://purl.obolibrary.org/obo/CL_0002551	YAP			immortalized cell	skin fibroblasts	Appendix I 3D spheroid culture.pdf	 gel collagen	spheroid			3D			coated microplate	Fluorescent Antibody Technique, Indirect	MESH	http://purl.bioontology.org/ontology/MESH/D019084	IgG1 isotype control			DAPI	MESH	http://purl.bioontology.org/ontology/MESH/C007293	Phalloidine	MESH	http://purl.bioontology.org/ontology/MESH/D010590	DMEM high glucose	fetal calf serum	10	% vol			Penicillin / streptavidin	37	Degrees Celcius			10	%			2.5	mg/ml		
a_2018_3dsphinvasion_ht1080_collagen_spheroid_invasion_assay_microscopy_imaging-N3	D5_medium_20x_YAP	HT-1080 cell	CLO	http://purl.obolibrary.org/obo/CLO_0004276	fibrosarcoma	CLO	http://purl.obolibrary.org/obo/DOID_3355	human			Human fibrosarcoma, cell line with a mesenchymal phenotype, established with 2D cell culture.	ATCC	fibroblast of dermis	UBERON	http://purl.obolibrary.org/obo/CL_0002551	YAP			immortalized cell	skin fibroblasts	Appendix I 3D spheroid culture.pdf	 gel collagen	spheroid			3D			coated microplate	Fluorescent Antibody Technique, Indirect	MESH	http://purl.bioontology.org/ontology/MESH/D019084	YAP mAb			DAPI	MESH	http://purl.bioontology.org/ontology/MESH/C007293	Phalloidine	MESH	http://purl.bioontology.org/ontology/MESH/D010590	DMEM high glucose	fetal calf serum	10	% vol			Penicillin / streptavidin	37	Degrees Celcius			10	%			2.5	mg/ml		
a_2018_3dsphinvasion_ht1080_collagen_spheroid_invasion_assay_microscopy_imaging-N3	E5_medium_20x_YAP	HT-1080 cell	CLO	http://purl.obolibrary.org/obo/CLO_0004276	fibrosarcoma	CLO	http://purl.obolibrary.org/obo/DOID_3355	human			Human fibrosarcoma, cell line with a mesenchymal phenotype, established with 2D cell culture.	ATCC	fibroblast of dermis	UBERON	http://purl.obolibrary.org/obo/CL_0002551	YAP			immortalized cell	skin fibroblasts	Appendix I 3D spheroid culture.pdf	 gel collagen	spheroid			3D			coated microplate	Fluorescent Antibody Technique, Indirect	MESH	http://purl.bioontology.org/ontology/MESH/D019084	YAP mAb			DAPI	MESH	http://purl.bioontology.org/ontology/MESH/C007293	Phalloidine	MESH	http://purl.bioontology.org/ontology/MESH/D010590	DMEM high glucose	fetal calf serum	10	% vol			Penicillin / streptavidin	37	Degrees Celcius			10	%			6.0	mg/ml		
a_2018_3dsphinvasion_ht1080_collagen_spheroid_invasion_assay_microscopy_imaging-N3	F2_medium_20x_YAP	HT-1080 cell	CLO	http://purl.obolibrary.org/obo/CLO_0004276	fibrosarcoma	CLO	http://purl.obolibrary.org/obo/DOID_3355	human			Human fibrosarcoma, cell line with a mesenchymal phenotype, established with 2D cell culture.	ATCC	fibroblast of dermis	UBERON	http://purl.obolibrary.org/obo/CL_0002551	YAP			immortalized cell	skin fibroblasts	Appendix I 3D spheroid culture.pdf	 gel collagen	spheroid			3D			coated microplate	Fluorescent Antibody Technique, Indirect	MESH	http://purl.bioontology.org/ontology/MESH/D019084	YAP mAb			DAPI	MESH	http://purl.bioontology.org/ontology/MESH/C007293	Phalloidine	MESH	http://purl.bioontology.org/ontology/MESH/D010590	DMEM high glucose	fetal calf serum	10	% vol			Penicillin / streptavidin	37	Degrees Celcius			10	%			6.0	mg/ml		
a_2018_3dsphinvasion_ht1080_collagen_spheroid_invasion_assay_microscopy_imaging-N3	F5_medium_20x_YAP	HT-1080 cell	CLO	http://purl.obolibrary.org/obo/CLO_0004276	fibrosarcoma	CLO	http://purl.obolibrary.org/obo/DOID_3355	human			Human fibrosarcoma, cell line with a mesenchymal phenotype, established with 2D cell culture.	ATCC	fibroblast of dermis	UBERON	http://purl.obolibrary.org/obo/CL_0002551	YAP			immortalized cell	skin fibroblasts	Appendix I 3D spheroid culture.pdf	 gel collagen	spheroid			3D			coated microplate	Fluorescent Antibody Technique, Indirect	MESH	http://purl.bioontology.org/ontology/MESH/D019084	YAP mAb			DAPI	MESH	http://purl.bioontology.org/ontology/MESH/C007293	Phalloidine	MESH	http://purl.bioontology.org/ontology/MESH/D010590	DMEM high glucose	fetal calf serum	10	% vol			Penicillin / streptavidin	37	Degrees Celcius			10	%			6.0	mg/ml		
a_2018_3dsphinvasion_ht1080_collagen_spheroid_invasion_assay_microscopy_imaging-N3	G2_medium_20x_YAP	HT-1080 cell	CLO	http://purl.obolibrary.org/obo/CLO_0004276	fibrosarcoma	CLO	http://purl.obolibrary.org/obo/DOID_3355	human			Human fibrosarcoma, cell line with a mesenchymal phenotype, established with 2D cell culture.	ATCC	fibroblast of dermis	UBERON	http://purl.obolibrary.org/obo/CL_0002551	YAP			immortalized cell	skin fibroblasts	Appendix I 3D spheroid culture.pdf	 gel collagen	spheroid			3D			coated microplate	Fluorescent Antibody Technique, Indirect	MESH	http://purl.bioontology.org/ontology/MESH/D019084	YAP mAb			DAPI	MESH	http://purl.bioontology.org/ontology/MESH/C007293	Phalloidine	MESH	http://purl.bioontology.org/ontology/MESH/D010590	DMEM high glucose	fetal calf serum	10	% vol			Penicillin / streptavidin	37	Degrees Celcius			10	%			6.0	mg/ml		
a_2018_3dsphinvasion_ht1080_collagen_spheroid_invasion_assay_microscopy_imaging-N3	G5_medium_20x_YAP	HT-1080 cell	CLO	http://purl.obolibrary.org/obo/CLO_0004276	fibrosarcoma	CLO	http://purl.obolibrary.org/obo/DOID_3355	human			Human fibrosarcoma, cell line with a mesenchymal phenotype, established with 2D cell culture.	ATCC	fibroblast of dermis	UBERON	http://purl.obolibrary.org/obo/CL_0002551	YAP			immortalized cell	skin fibroblasts	Appendix I 3D spheroid culture.pdf	 gel collagen	spheroid			3D			coated microplate	Fluorescent Antibody Technique, Indirect	MESH	http://purl.bioontology.org/ontology/MESH/D019084	YAP mAb			DAPI	MESH	http://purl.bioontology.org/ontology/MESH/C007293	Phalloidine	MESH	http://purl.bioontology.org/ontology/MESH/D010590	DMEM high glucose	fetal calf serum	10	% vol			Penicillin / streptavidin	37	Degrees Celcius			10	%			6.0	mg/ml		
a_2018_3dsphinvasion_ht1080_collagen_spheroid_invasion_assay_microscopy_imaging-N4	Medium_B2_20x_YAP	HT-1080 cell	CLO	http://purl.obolibrary.org/obo/CLO_0004276	fibrosarcoma	CLO	http://purl.obolibrary.org/obo/DOID_3355	human			Human fibrosarcoma, cell line with a mesenchymal phenotype, established with 2D cell culture.	ATCC	fibroblast of dermis	UBERON	http://purl.obolibrary.org/obo/CL_0002551	YAP			immortalized cell	skin fibroblasts	Appendix I 3D spheroid culture.pdf	 gel collagen	spheroid			3D			coated microplate	Fluorescent Antibody Technique, Indirect	MESH	http://purl.bioontology.org/ontology/MESH/D019084	YAP mAb			DAPI	MESH	http://purl.bioontology.org/ontology/MESH/C007293	Phalloidine	MESH	http://purl.bioontology.org/ontology/MESH/D010590	DMEM high glucose	fetal calf serum	10	% vol			Penicillin / streptavidin	37	Degrees Celcius			10	%			2.5	mg/ml		
a_2018_3dsphinvasion_ht1080_collagen_spheroid_invasion_assay_microscopy_imaging-N4	Medium_B5_20x_YAP	HT-1080 cell	CLO	http://purl.obolibrary.org/obo/CLO_0004276	fibrosarcoma	CLO	http://purl.obolibrary.org/obo/DOID_3355	human			Human fibrosarcoma, cell line with a mesenchymal phenotype, established with 2D cell culture.	ATCC	fibroblast of dermis	UBERON	http://purl.obolibrary.org/obo/CL_0002551	YAP			immortalized cell	skin fibroblasts	Appendix I 3D spheroid culture.pdf	 gel collagen	spheroid			3D			coated microplate	Fluorescent Antibody Technique, Indirect	MESH	http://purl.bioontology.org/ontology/MESH/D019084	YAP mAb			DAPI	MESH	http://purl.bioontology.org/ontology/MESH/C007293	Phalloidine	MESH	http://purl.bioontology.org/ontology/MESH/D010590	DMEM high glucose	fetal calf serum	10	% vol			Penicillin / streptavidin	37	Degrees Celcius			10	%			2.5	mg/ml		
a_2018_3dsphinvasion_ht1080_collagen_spheroid_invasion_assay_microscopy_imaging-N4	Medium_C2_20x_YAP	HT-1080 cell	CLO	http://purl.obolibrary.org/obo/CLO_0004276	fibrosarcoma	CLO	http://purl.obolibrary.org/obo/DOID_3355	human			Human fibrosarcoma, cell line with a mesenchymal phenotype, established with 2D cell culture.	ATCC	fibroblast of dermis	UBERON	http://purl.obolibrary.org/obo/CL_0002551	YAP			immortalized cell	skin fibroblasts	Appendix I 3D spheroid culture.pdf	 gel collagen	spheroid			3D			coated microplate	Fluorescent Antibody Technique, Indirect	MESH	http://purl.bioontology.org/ontology/MESH/D019084	YAP mAb			DAPI	MESH	http://purl.bioontology.org/ontology/MESH/C007293	Phalloidine	MESH	http://purl.bioontology.org/ontology/MESH/D010590	DMEM high glucose	fetal calf serum	10	% vol			Penicillin / streptavidin	37	Degrees Celcius			10	%			2.5	mg/ml		
a_2018_3dsphinvasion_ht1080_collagen_spheroid_invasion_assay_microscopy_imaging-N4	Medium_C5_20x_YAP	HT-1080 cell	CLO	http://purl.obolibrary.org/obo/CLO_0004276	fibrosarcoma	CLO	http://purl.obolibrary.org/obo/DOID_3355	human			Human fibrosarcoma, cell line with a mesenchymal phenotype, established with 2D cell culture.	ATCC	fibroblast of dermis	UBERON	http://purl.obolibrary.org/obo/CL_0002551	YAP			immortalized cell	skin fibroblasts	Appendix I 3D spheroid culture.pdf	 gel collagen	spheroid			3D			coated microplate	Fluorescent Antibody Technique, Indirect	MESH	http://purl.bioontology.org/ontology/MESH/D019084	YAP mAb			DAPI	MESH	http://purl.bioontology.org/ontology/MESH/C007293	Phalloidine	MESH	http://purl.bioontology.org/ontology/MESH/D010590	DMEM high glucose	fetal calf serum	10	% vol			Penicillin / streptavidin	37	Degrees Celcius			10	%			2.5	mg/ml		
a_2018_3dsphinvasion_ht1080_collagen_spheroid_invasion_assay_microscopy_imaging-N4	Medium_D2_20x_YAP	HT-1080 cell	CLO	http://purl.obolibrary.org/obo/CLO_0004276	fibrosarcoma	CLO	http://purl.obolibrary.org/obo/DOID_3355	human			Human fibrosarcoma, cell line with a mesenchymal phenotype, established with 2D cell culture.	ATCC	fibroblast of dermis	UBERON	http://purl.obolibrary.org/obo/CL_0002551	YAP			immortalized cell	skin fibroblasts	Appendix I 3D spheroid culture.pdf	 gel collagen	spheroid			3D			coated microplate	Fluorescent Antibody Technique, Indirect	MESH	http://purl.bioontology.org/ontology/MESH/D019084	YAP mAb			DAPI	MESH	http://purl.bioontology.org/ontology/MESH/C007293	Phalloidine	MESH	http://purl.bioontology.org/ontology/MESH/D010590	DMEM high glucose	fetal calf serum	10	% vol			Penicillin / streptavidin	37	Degrees Celcius			10	%			2.5	mg/ml		
a_2018_3dsphinvasion_ht1080_collagen_spheroid_invasion_assay_microscopy_imaging-N4	Medium_D5_20x_IgG	HT-1080 cell	CLO	http://purl.obolibrary.org/obo/CLO_0004276	fibrosarcoma	CLO	http://purl.obolibrary.org/obo/DOID_3355	human			Human fibrosarcoma, cell line with a mesenchymal phenotype, established with 2D cell culture.	ATCC	fibroblast of dermis	UBERON	http://purl.obolibrary.org/obo/CL_0002551	YAP			immortalized cell	skin fibroblasts	Appendix I 3D spheroid culture.pdf	 gel collagen	spheroid			3D			coated microplate	Fluorescent Antibody Technique, Indirect	MESH	http://purl.bioontology.org/ontology/MESH/D019084	IgG1 isotype control			DAPI	MESH	http://purl.bioontology.org/ontology/MESH/C007293	Phalloidine	MESH	http://purl.bioontology.org/ontology/MESH/D010590	DMEM high glucose	fetal calf serum	10	% vol			Penicillin / streptavidin	37	Degrees Celcius			10	%			2.5	mg/ml		
a_2018_3dsphinvasion_ht1080_collagen_spheroid_invasion_assay_microscopy_imaging-N4	Medium_E2_20x_YAP 10	HT-1080 cell	CLO	http://purl.obolibrary.org/obo/CLO_0004276	fibrosarcoma	CLO	http://purl.obolibrary.org/obo/DOID_3355	human			Human fibrosarcoma, cell line with a mesenchymal phenotype, established with 2D cell culture.	ATCC	fibroblast of dermis	UBERON	http://purl.obolibrary.org/obo/CL_0002551	YAP			immortalized cell	skin fibroblasts	Appendix I 3D spheroid culture.pdf	 gel collagen	spheroid			3D			coated microplate	Fluorescent Antibody Technique, Indirect	MESH	http://purl.bioontology.org/ontology/MESH/D019084	YAP mAb			DAPI	MESH	http://purl.bioontology.org/ontology/MESH/C007293	Phalloidine	MESH	http://purl.bioontology.org/ontology/MESH/D010590	DMEM high glucose	fetal calf serum	10	% vol			Penicillin / streptavidin	37	Degrees Celcius			10	%			6.0	mg/ml		
a_2018_3dsphinvasion_ht1080_collagen_spheroid_invasion_assay_microscopy_imaging-N4	Medium_E5_20x_YAP 10	HT-1080 cell	CLO	http://purl.obolibrary.org/obo/CLO_0004276	fibrosarcoma	CLO	http://purl.obolibrary.org/obo/DOID_3355	human			Human fibrosarcoma, cell line with a mesenchymal phenotype, established with 2D cell culture.	ATCC	fibroblast of dermis	UBERON	http://purl.obolibrary.org/obo/CL_0002551	YAP			immortalized cell	skin fibroblasts	Appendix I 3D spheroid culture.pdf	 gel collagen	spheroid			3D			coated microplate	Fluorescent Antibody Technique, Indirect	MESH	http://purl.bioontology.org/ontology/MESH/D019084	YAP mAb			DAPI	MESH	http://purl.bioontology.org/ontology/MESH/C007293	Phalloidine	MESH	http://purl.bioontology.org/ontology/MESH/D010590	DMEM high glucose	fetal calf serum	10	% vol			Penicillin / streptavidin	37	Degrees Celcius			10	%			6.0	mg/ml		
a_2018_3dsphinvasion_ht1080_collagen_spheroid_invasion_assay_microscopy_imaging-N4	Medium_F2_20x_YAP 10	HT-1080 cell	CLO	http://purl.obolibrary.org/obo/CLO_0004276	fibrosarcoma	CLO	http://purl.obolibrary.org/obo/DOID_3355	human			Human fibrosarcoma, cell line with a mesenchymal phenotype, established with 2D cell culture.	ATCC	fibroblast of dermis	UBERON	http://purl.obolibrary.org/obo/CL_0002551	YAP			immortalized cell	skin fibroblasts	Appendix I 3D spheroid culture.pdf	 gel collagen	spheroid			3D			coated microplate	Fluorescent Antibody Technique, Indirect	MESH	http://purl.bioontology.org/ontology/MESH/D019084	YAP mAb			DAPI	MESH	http://purl.bioontology.org/ontology/MESH/C007293	Phalloidine	MESH	http://purl.bioontology.org/ontology/MESH/D010590	DMEM high glucose	fetal calf serum	10	% vol			Penicillin / streptavidin	37	Degrees Celcius			10	%			6.0	mg/ml		
a_2018_3dsphinvasion_ht1080_collagen_spheroid_invasion_assay_microscopy_imaging-N4	Medium_G2_20x_YAP 10	HT-1080 cell	CLO	http://purl.obolibrary.org/obo/CLO_0004276	fibrosarcoma	CLO	http://purl.obolibrary.org/obo/DOID_3355	human			Human fibrosarcoma, cell line with a mesenchymal phenotype, established with 2D cell culture.	ATCC	fibroblast of dermis	UBERON	http://purl.obolibrary.org/obo/CL_0002551	YAP			immortalized cell	skin fibroblasts	Appendix I 3D spheroid culture.pdf	 gel collagen	spheroid			3D			coated microplate	Fluorescent Antibody Technique, Indirect	MESH	http://purl.bioontology.org/ontology/MESH/D019084	YAP mAb			DAPI	MESH	http://purl.bioontology.org/ontology/MESH/C007293	Phalloidine	MESH	http://purl.bioontology.org/ontology/MESH/D010590	DMEM high glucose	fetal calf serum	10	% vol			Penicillin / streptavidin	37	Degrees Celcius			10	%			6.0	mg/ml		
